[2025-01-27T21:50:11.479-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-27T21:50:11.484-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-18T00:00:00+00:00 [queued]>
[2025-01-27T21:50:11.490-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-18T00:00:00+00:00 [queued]>
[2025-01-27T21:50:11.490-0300] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-01-27T21:50:11.501-0300] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): inject_pactrat_agend_into_es> on 2021-04-18 00:00:00+00:00
[2025-01-27T21:50:11.504-0300] {standard_task_runner.py:72} INFO - Started process 58195 to run task
[2025-01-27T21:50:11.506-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'InsertPACTRATxAGENDIntoElastic', 'inject_pactrat_agend_into_es', 'scheduled__2021-04-18T00:00:00+00:00', '--job-id', '7417', '--raw', '--subdir', 'DAGS_FOLDER/DAGInjectPACTRATXAGENDElastic.py', '--cfg-path', '/tmp/tmp1olsm0g8']
[2025-01-27T21:50:11.507-0300] {standard_task_runner.py:105} INFO - Job 7417: Subtask inject_pactrat_agend_into_es
[2025-01-27T21:50:11.527-0300] {task_command.py:467} INFO - Running <TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-18T00:00:00+00:00 [running]> on host lucas-Aspire-A514-54
[2025-01-27T21:50:11.570-0300] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lucas' AIRFLOW_CTX_DAG_ID='InsertPACTRATxAGENDIntoElastic' AIRFLOW_CTX_TASK_ID='inject_pactrat_agend_into_es' AIRFLOW_CTX_EXECUTION_DATE='2021-04-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-04-18T00:00:00+00:00'
[2025-01-27T21:50:11.571-0300] {taskinstance.py:731} INFO - ::endgroup::
