[2025-01-27T22:09:16.239-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-27T22:09:16.253-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-24T00:00:00+00:00 [queued]>
[2025-01-27T22:09:16.268-0300] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-24T00:00:00+00:00 [queued]>
[2025-01-27T22:09:16.269-0300] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2025-01-27T22:09:16.293-0300] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): inject_pactrat_agend_into_es> on 2021-04-24 00:00:00+00:00
[2025-01-27T22:09:16.299-0300] {standard_task_runner.py:72} INFO - Started process 59905 to run task
[2025-01-27T22:09:16.303-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'InsertPACTRATxAGENDIntoElastic', 'inject_pactrat_agend_into_es', 'scheduled__2021-04-24T00:00:00+00:00', '--job-id', '7433', '--raw', '--subdir', 'DAGS_FOLDER/DAGInjectPACTRATXAGENDElastic.py', '--cfg-path', '/tmp/tmpwcwrad16']
[2025-01-27T22:09:16.305-0300] {standard_task_runner.py:105} INFO - Job 7433: Subtask inject_pactrat_agend_into_es
[2025-01-27T22:09:16.358-0300] {task_command.py:467} INFO - Running <TaskInstance: InsertPACTRATxAGENDIntoElastic.inject_pactrat_agend_into_es scheduled__2021-04-24T00:00:00+00:00 [running]> on host lucas-Aspire-A514-54
[2025-01-27T22:09:16.538-0300] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lucas' AIRFLOW_CTX_DAG_ID='InsertPACTRATxAGENDIntoElastic' AIRFLOW_CTX_TASK_ID='inject_pactrat_agend_into_es' AIRFLOW_CTX_EXECUTION_DATE='2021-04-24T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2021-04-24T00:00:00+00:00'
[2025-01-27T22:09:16.538-0300] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-27T22:09:16.852-0300] {logging_mixin.py:190} WARNING - /home/lucas/airflow/dags/DAGInjectPACTRATXAGENDElastic.py:138 DtypeWarning: Columns (2) have mixed types. Specify dtype option on import or set low_memory=False.
